************************************************************************************************************************************
* 
* Changes since '2006 edition:
* 
* 1. Exclusive cross sections at sqrt(s) < 2. GeV are updated and resummed to obtain 
*    the total cross section and hence the R ratio.
*
* Note on format:
*
* Normalization and point-to-point systematic errors are separated where possible. 
* If a normalization uncertainty varies from point to point within the same experiment 
* then it is printed in the 'sys(ptp,%)+-' column, we'll fix this in a while. 
* In any case carefully read the 'ptp_comment' column or refer to original publications 
* for systematic issues. 
* Note that one point may contain several point-to-point uncertainties from different sources.
*    
* More details can be found in http://arXiv.org/hep-ph/0312114 
* (to be revised soon to include recent changes, in any case see the latest version).
* 
* A sample fortran code reading this table is given after it. Ignore lines beginning with an asterisk.
*
** 1152 points ** 31.08.2007 *******************************************************************************************************
*
*  E(cm)       E(cm)_bin              R          +stat      -stat        norm.(%) 'ShortCode      ' 'Reference      '   sys(ptp,%)+- 'ptp_comment                                                                                                                           '
*-----------------------------------------------------------------------------------------------------------------------------------------
   0.36000     0.36000    0.36000     0.12018    +0.01033   -0.01033     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.37000     0.37000    0.37000     0.14244    +0.00869   -0.00869     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.38000     0.38000    0.38000     0.16990    +0.01587   -0.01587     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.39000     0.39000    0.39000     0.15662    +0.00982   -0.00982     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.40000     0.40000    0.40000     0.17795    +0.01938   -0.01938     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.41000     0.41000    0.41000     0.21191    +0.00986   -0.00986     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.42000     0.42000    0.42000     0.21045    +0.03065   -0.03065     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.43000     0.43000    0.43000     0.26582    +0.01031   -0.01031     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.43800     0.43800    0.43800     0.31445    +0.02302   -0.02302     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
   0.44000     0.44000    0.44000     0.27114    +0.03369   -0.03369     0.00000  'EXCLSUM 07     ' 'COMPILATION    '   +0.00  +0.00 '                                                                                                                                    '
